aymara,spanish
Chhuqha,Ave palmípeda de color negro que vive en los lagos
Chhuqhu,Palo o algo punzante sobresalido
Chhuqhuntaña,Clavar punzando. Punzar
Chhuru,Pico de ave
Chhururiña,"Instrumento, silbato"
Chhusu,"Desentonado, músico mediocre"
Chhuwa,Nombre de un pueblo
Chhuxlla,Pasto. Hierba que come el ganado
Chhuxri,Herida interna
Chhuxu,Orina
Chhuxuña,Órgano que sirve para orinar
Chhuxuraña,Orinar
Chhuyu,Huella reciente
Chhü,Sirve para llamar la atención
Chhäjtaña,Enfriarse los dientes. Destemplarse
Chhärma,Esta noche
Chhärmanthi,Esta mañana
Chiata,Rasgado
Chica-uru,Mediodía
Chicaqui,Juntos
Chichhayasiña,Atizar con la ayuda de alguien
Chichillanka,Mosca
Chichinh,Sombra
Chictaña,Partir
Chigmaña,Almohada
Chika aruma,Media noche
Chika uru,Medio día
Chikaña,Concubinarse o contraer matrimonio
Chikata,"Medio, mitad"
Chikayaña,Hacer juntar
Chikhi,Desgracia
Chiki,Apto
Chikka,"Recto, verdad."
Chillana,Embutir
Chillantaña,Encajar una cosa en otra. Atestar.
Chillksuña,"Brotar, germinar la semilla"
Chillpa,Cuna
Chillpt'aña,Poner cuña en lugar de desigualdad
Chillqaña,Dar pasos largos
Chilltaña,"Sobornar, corromper"
Chiltiyaña,Salpicar
Chimpuña,Marcar a los animales con lanas de color
Chimpusiña,"Señalar el tiempo o lugar donde se hará algo, marcarse"
China,"Muchacha, culo."
Chiñi,Murciélago
Chinjaña,Atarse la manta
Chinjasiña,Amarrarse el aguayo de forma que no se caiga
Chinthapiña,Asegurar algo
Chinu,"Nudo, lego muy apretado"
Chinu-Phajhsi,Noviembre
Chinuña,"Amarrar, Atar. Lazo."
Chinuniqaniña,Desamarrar al animal de un sitio
Chinuntaña,Aprisionar. Asegurar algo con un nudo para que no se desparrame.
Chinuqaña,"Desamarrar, desatar"
Chiñuqaña,Amarrar a los animales en diferentes lugares determinados
Chiñuraña,Desatar
Chinusiña,Amarrarse o asegurarse algo
Chinuta,"Amarrado, atado"
Chipchi,Párpado
Chipukku,Cejas
Chiqa,"Verdad, seguro, directo"
Chiqachaña,"Declarar, enderezar, confirmar"
Chiqachiri,Corregidor
Chiqaki,"Directamente, Directo, correcto"
Chiqana,"Ciertamente, especialmente"
Chiqanti,Era cierto
Chiqt'aña,"Acertar, atinar, afirmar"
Chiquichaña,Distribuir
Chira,"Pepita, Semilla de ají o semilla menuda de ciertas plantas"
Chirikaña,Ruiseñor
Chiruana,Exprimir
Chiskchi,Granizo
Chita,Cría de oveja que no tiene madre
Chitachaña,Domesticar
Chiwancu,Tordo
Chiwank'u,Ave de plumas negras
Chiwchi,Polluelo
Chïwthapiña,Envolver lana
Chiyara,Negro
Chuchaña,"Protestar, hablar mucho"
Chuchiptaña,Perder el Color del cabello
Chuchiri,"Hablador, comentarista"
Chuchu,"Senos, pecho"
Chucuña,Coser
Chucuta,Cosido
Chuhika,Zurdo
Chujchu,"Enfermedad, fiebre, paludismo. Malaria"
Chujgchu,Terciana
Chujglla,Choza
Chujgnachana,Verdear
Chujhaña,Verde
Chuju,Orina
Chujuña,Mear
Chuknaqaña,Corretear entre muchos. Andar en cuclillas
Chukt'aña,Ponerse de cuclillas
Chukulli,Calambre muscular
Chukuña,Estar semi sentado
Chulla,Impar
Chullchu,"Flaco, enfermizo"
Chulljaña,"Derretirse, descongelarse"
Chullpa,Momia
Chulluchaña,Remojar
Chulluchata,Remojado. Derretido. Diluido.
Chulluchayaña,Hacer remojar
Chulluchiña,"Remojar, Derretir"
Chulluta,Congelado
Chulu,"Lobo, animal carnicero parecido a un perro"
Chumi,Arbusto
Chumpi,Café
Chumppi,Castaño
Chunku,"Palabra de cariño, expresión de afecto"
Chunsña,Zumbar
Chupica,Colorado. Carmesí.
Chupika,"Color carne, rojo"
Chupila,Vagina
Chuqilla,"Pastor de alpacas, danza folclórica"
Churaña,Dar
Churasiña,Darse unos a otros
Churata,Obsequiado
Churawi,Premio o lugar donde se da algo a alguien
Churayaña,Hacer dar algo a alguien
Churi,"Color amarillento, color pálido"
Churita,Dame
Churjaña,"Devolver lo poseído, con deshonestidad"
Churt'ana,Golpear con intención
Churuña,Picar
Chusi,Frazada de oveja
Chusikka,Lechuza
Chutu,Montón
Chuwa,Plato de barro
Chuwi,Frijol
Chuwillu,Parte del arado manual
Chuxchu,Alero
Chuxu,Animal maltratado. Orín. Persona huesuda.
Chuyma,"Corazón, pulmón"
Chuymachaña,Consolar
Chuymani,"Que tiene corazón. Persona de edad, anciano"
Chuymawisa,"Necio, torpe, incapaz, etc."
Chäka,Tallo seco de la quinua
Hacha-chiri,Septiembre
Hamachi,Pájaro
Hamacura,Pañal
Hamphatita,Besar
Hankko,Blanco
Hatha,Siembra
Hayachasiña,"Alejarse, Apartarse"
Hayu,Sal
Hhanaraña,Descubrir
Hhasi,Escocer
Histtaña,Cerrar
Huajgra,"Asta, Cuerno"
Huajgttasiri,Mendigo
Huallpa,Gallina
Hualuru,Anteayer
Huampara,Vaso
Huancuña,Cojear
Hucha,Pecado
Huntuchaña,Calentar
Hutaña,Venir
Huturuncu,Paloma
Huyu,Patio
Ichas,Acaso
Ichjatasiña,Ponerse sobre el regazo a una criatura etc.
Ichkataña,"Poner o llevar algo entre los brazos, como ser un niño, un animal pequeño"
Ichkatasiña,Llevarse al pecho una criatura
Ichnaqaña,Manejar una cosa pequeña o un niño en los brazos
Ichsuña,"Sacar. Alzar, levantar en brazos a una criatura"
Icht'asita,Persona que tiene algo entre los brazos
Ichtaraqaña,"Alzar, tomar en brazos algo sin el consentimiento del dueño"
Ichtasiña,"Tomar algo que se encontró. Alzarse, levantarse del suelo mutuamente"
Ichthapiña,"Coger a una criatura, juntar dos cosas muy pequeñas con las manos"
Ichthapisiña,Cuando dos personas juntan sus criaturas en un lugar
Ichukipaña,"Llevar, hacer pasar por encima de algo, al niño que se lleva en brazos"
Ichuniña,Trasladar una criatura al lugar donde lo piden. Apadrinar en bautismo
Ichuntaña,"Meter, introducir llevando en brazos a un ser pequeño"
Ichuqaña,Bajar en brazos de una parte alta a una criatura
Ichur awki,Padrino de bautismo
Ichur tayka,Madrina de bautismo
Ichuraña,"Arrebatar una cosa pequeña, quitar un bebé de las manos de alguien"
Ichuri,Persona que lleva en sus manos un ser pequeño
Ichusiña,Creer y guiarse en los consejos de adivinos. Llevar en brazos a un niño
Ichusiri,Que se guía del consejo de los adivinos. El que lleva para sí alguna cosa
Ichut'asita,Persona que tiene algún ser en sus brazos
Ichutata,Padrino de bautismo o rotucha
Ichuwawa,Niño de bautizo
Ichuxaruña,Tomar en brazos un niño. Alzar en los brazos
Ichuxaräña,Entregar en las manos de alguien un ser pequeño
Ichuxatasiña,Poner en el regazo una criatura
Ichuyaña,Hacer que otro lleve algo en brazos. Buscar a los adivinos y pedirles consejo
Ichuyiri,Que cree y se guía del consejo de los adivinos. Persona que hace llevar algo
Ichxataña,"Sobreponer, poner encima de algo lo que se lleva en brazos"
Ijma,Viuda y viudo. Adj. Persona que se olvida
Ijmaptaña,"Enviudar, tanto el hombre como la mujer"
Ikanp'akiri,"Doncellita. La infusión de planta se emplea como sudorífico, carminativo y en las diarreas de los niños"
Ikch'awa,Persona que dormita
Ikch'awaña,"Dormitar, amodorrarse. Cabecear de sueño"
Ikch'ukiña,"Fingir que se duerme, hacerse el dormido"
Ikikataña,"Dormir reclinado la cabeza, dormirse con otra persona"
Ikikipa,"Dormir a un lado y otro, como uno al que le empujan"
Ikikipaña,Dormir transportado del sueño profundamente
Ikimacha,"Somnolencia, persona que no ha dormido"
Ikimachaña,Desvelar no dejar dormir
Ikimaya,Persona que no durmió
Ikiña,"Dormir. Frazada, cama, colcha"
Ikintayaña,Hacer acostar a alguien
Ikinuqaña,Estar echados como para dormir o descansar. Dormir en un lugar no previsto
Ikiqimara,Dormilón
Ikiraña,Dormir muchos en un cuarto aglomerados
Ikiraqaña,Dormir en casa ajena con consentimiento del dueño
Ikit'aña,Dormir poco tiempo. Siesta
Ikitataña,"Tenderse de largo, dormirse sin cuidado"
Ikjaña,Dormir hasta retrasarse
Ikjasiña,Dormir cuidando algo. Dormir donde se tiene que cuidar algo
Iksuña,Dormir con una persona con sexo opuesto ilícitamente
Ikthapiña,Comenzar a dormirse. Adormecerse
Ila,"Instante, momento, corto"
Ilaniña,"Venir apresuradamente. Ir a sacar algo, del suelo con un punzón o cuchillo"
Ilayaña,"Dar prisa, apresurar a otro"
Illa,"Amuleto, talismán, objeto al que se atribuye virtud mágica"
Illa mank'a,"Productos agrícolas que por algún motivo especial (caída de un rayo, etc.), son considerados talismanes"
Illa qullqi,Monedas que después de ciertos ritos y ceremonias tienen poderes mágicos
Illachantasiña,Guardar amuletos o talismanes que le traigan suerte y ventura
Illachasiña,"Guardar amuletos que le traigan suerte. Atesorar, reunir dinero"
Illapa uru,Jueves
Illapana,Balear
Illapaña,Caer el rayo
Illapata,Ha caído el rayo sobre esa persona
Illapjaña,Caer el rayo en algún sitio. Disparar continuamente
Illapnaqaña,Sentirse los truenos por todas partes. Fulminar arrojar rayos
Illappu,Balazo
Illapu,Rayo
Illawa,"Liso, pieza del telar que divide los hilos de la urdiembre para que pase la trama"
Illawaña,Colocar el liso en la urdiembre
Illi,Savia de los árboles y las plantas
Illpa,"Sien, partes laterales de la frente"
Illpanchaña,Golpear a otro en las sienes
Ilsuña,Subir apresuradamente
Ilu,"Trabajo de sembrar, Sembrar poniendo la semilla en el surco"
Iluniña,Ir a depositar en el surco semilla de tubérculos
Ilurapiña,Depositar semilla para alguien
Iluri,Persona que deposita la semilla en el surco
Iluyaña,"Hacer sembrar, hacer depositar la semilla en el surco"
Imakaña,Trabajar
Imakipaña,"Recubrir, cubrir nuevamente"
Imakkata,Trabajo
Imaña,"Almacenar, reunir, conservar, guardar. Custodiar. Enterrar, dar sepultura."
Imanaq'aña,Esconder algo
Imanaqasiña,Andar escondiéndose
Imaniña,Entierro
Imañjaña,Como para guardar.
Imantaña,"Recelar, ocultar, esconder, encubrir, tener secretos"
Imantasiña,Esconderse de alguien. Escondite. Ocultarse.
Imantata,"Oculto, escondido, secreto"
Imantt'aña,"Zambucar, esconder rápidamente una cosa dentro de otra"
Imaqaña,Apartar algo para guardar u ocultar algo
Imaraña,Descubrir lo que estaba tapado o cubierto
Imasiña,"Esconderse, escondite, escondrijo, guarida. Acogerse refugiarse. Guardarse algo para si"
Imasiwi,"Escondrijo, escondite, guarida. Entierro"
Imata,"Guardado, almacenado. Escondido, secreto. Tapado, cubierto. Oculto."
Imayaña,"Hacer guardar a otro, una cosa para que la guarde"
Imayasiña,Dar a otro algo propio para que se lo guarde
Imik'ara,Taimado astuto hipócrita
Imilla,"Niña, muchacha, chiquilla"
Imiri,"Conservador, que conserva cuidador, depositario. Enterrador."
Imt'aña,"Encubrir, ocultar, disimular o socapar, esconder, callar maliciosamente"
Imt'iri,"Encubridor, cómplice, consentidor"
Imxaña,Guardar lo que no lo estaba hasta entonces. Volver a guardar
Imxasiña,"Tener secretos, Custodiar, conservar, mantener en buen estado"
Imxataña,"Cobijar, cubrir o tapar"
Ina,"Abundante, que abunda. Común. adj. Desocupado o esta por demás.  "
Ina panqara,Flor silvestre
Inacha,"¡Ojalá! Que expresa vivo deseo. Quizá, puede ser"
Inachaña,Alquilar
Inachasiña,Alquilarse
Inaja,"Quizás, expresa duda. Acaso, quizá"
Inaki,"Gratuitamente, desocupado, vacante"
Inakiña,"Estar desocupado, sin ocupación, Vagabundear"
Inakt'aña,"Estar inquieto, ser diligente"
Inamaya,"Inútilmente, Vanamente"
Inamukuña,"Apaciguar, tranquilizar, amansar"
Iñantaña,Mirar algo levantando
Inapiniki,"Inútilmente, injustificadamente, sin motivo"
Inaqachasiña,"Vestirse a la moda, arreglarse la ropa una vez vestida"
Iñaqaña,"Mirar por debajo, verter mejor"
Inawanukuña,"Aplacarse, amansarse, suavizarse"
Inawisa,"Demasiado, mucho"
Inhajha,Quizá
Inkapanqara,Retama
Inkhi,Buche de cualquier ave
Inkiranttaña,Hundirse el techo
Inkjataña,"Sobreponer, poner sobre algo un pequeño bulto de cosas atadas en un pañuelo"
Inktaña,"Alzar, levantar cosas puestas en una servilleta. Levantar un bulto"
Inku,Atado de una tela pequeña
Inkukipaña,"Poner o pasar algo de un vaso a otro, de un costal a otro"
Inkuña,Llevar un bulto con la mano
Inkuntaña,Introducir un bulto o cosa parecida
Inkuqaña,Bajar un bulto
Inkuraña,"Arrebatar, quitar un bulto o cosa parecida"
Inkxaraqaña,Entregar en las manos de alguien una cosa como bulto
Inkxataña,"Adicionar, añadir, sobreponer con un bulto"
Inti hiwi,Eclipse
Inti uru,Domingo
Iñu,"Huérfano, niño sin padre ni madre"
Inüru,Día ordinario
Inäña,"Estar desocupado, sin objeto"
Ipalita,"Tía, Tía, hermana del padre, respecto del hijo varón"
Ipasari,"Sobrino o sobrina, hijos de hermano, pero lo son respecto de la hermana"
Ipata,Cuñada que viene a ser para la mujer hermana de su marido
Ipi,Papas pequeñas silvestres y nacen de una mata
Iqa,"Cosas largas flexibles, porción pequeña de terreno, tierra no cultivada"
Iqalaña,Temblar de frío o temor
Iqalayaña,"Hacer temblar, atemorizar a otro"
Iqaliri,"Temblador, persona que tiembla o que anda temblando"
Iqamukuña,Dejar abandonado algo como tela o papel
Iqaña,"Transportar ropas, Medir con soga un terreno. Parcelar terrenos"
Iqanaqaña,"Llevar colgando de la mano una prenda de vestir, una tela o un papel"
Iqanaqtaña,Botar por todas partes una cosa como tela o papel suelto no tirante
Iqaniña,Traer colgando en la mano hacia donde está el que habla una tela o cuerda
Iqantaña,"Introducir, meter dentro de algo una cosa como tela o papel"
Iqanuqaña,"Poner, tender en el suelo cosas como prendas de vestir, papeles, etc."
Iqaqaña,Separar una cosa como tela o papel de otras o del lugar donde debe estar
Iqaqipaña,"Hacer pasar por encima de una pared, persona, o cosas, etc."
Iqaraña,"Arrebatar, quitar a alguien cosas como papel, tela, etc. Descalzar"
Iqarantaña,"Caerse, dejar caer una cosa como tela, papel, soga, etc."
Iqarasxaña,"Recuperar del poder de otro arrebatándole los papeles, telas, etc."
Iqasjaña,"Llevarse las telas, que le pertenecen y que había dejado por olvido"
Iqatataña,"Desdoblar, tender en el suelo cosas como telas, ropas, etc."
Iqatatata,"Tendido, extendido, dícese de telas, ropas, etc."
Iqharuña,"Llevar a otra parte cosas como telas, frazadas, etc."
Iqiqu,"Idolillo Aymara, dios de la abundancia"
Iqsuña,"Sacar del interior de una casa algo como bolsa, telas, etc."
Iqt'aña,"Medir un terreno, parcelar"
Iqt'arapiña,Medírselo un terreno para otra persona. Lqta s. Parcela
Iqtaña,"Coger una tela, papel, etc. Alzar, recoger del suelo"
Iqtasiña,"Pelear, forzar. Relación sexual. Encontrarse un papel o un pañuelo"
Iqthapiña,"Recoger cosas que estaban desdobladas. Cotejar dos prendas de vestir, telas"
Iquilla,Flor
Iquiña,Cama
Iqxaruyaña,"Entregar en las manos a otra persona cosas como telas, etc."
Iqxataña,"Sobreponer, añadir telas, etc., sobre otras"
Ira,"Mina o cantera. Zampoña, cuyas cañas de corte menor que combinan con el arca. Adv. Lugar donde trillan trigo, quinua, etc."
Irama,"Ladera, Pendiente, declive"
Irana,Ladera declive de un monte
Iraña,"Llevar cosas ligeras como monedas, en una sola mano"
Iranama,"Ladera, costado"
Irantaña,"Introducir objetos pequeños como papas, al surco o un dulce a la boca"
Iranukuña,Dejar por olvido. Repartir
Iraqaña,Restar o alejar un producto del tamaño de una papa o de una fruta
Iraqata,"Rebaja, descuento. Barato, de bajo precio."
Iraqayaña,"Hacer rebajar el valor en dinero, hacer quitar, bajar con la mano frutos, etc."
Iraqayasiña,"Hacerse rebajar en compras, intereses en deudas"
Iraraña,Arrebatar una cosa o producto redondo con una palma de la mano
Irarpayaña,"Abandonar por ahí, por descuido o falta de interés la cosa pequeña que llevaba"
Irasiña,Distribuirse entre varios las obligaciones que han asumido
Irasiri,Persona que se lleva algo. Persona que encara
Irasu,Instrumentos musicales medianos de la mohoseñada
Iraya,"Remesa, envío"
Irayaña,"Mandar encomienda, hacer que lleve."
Irayasiña,"Mandarse dinero para alguna compra a algún viajero, comprador, etc."
Irjasiña,"Compartir, repartir con otro. Destruirse unos a otros"
Irjataña,Aumentar
Irjatata,Aumentado
Irkata,Apéndice. Cosa añadida a otra
Irkataña,"Subir, ir apresuradamente a una parte más alta"
Irkatasiña,Encararse con otro
Irkatayaña,"Hacer encarar con un testigo, hacer que otro guarde"
Irki,"Niño o niña de uno a dos años de edad. Mucho, muy"
Irnaqa,Poner tierra al tallo de las plantas para que tome mayor vigor. Lugar de trabajo
Irnaqaña,"Laborar, labrar, trabajar. Manejar una cosa redonda con la palma de una mano"
Irnaqañjama,Laborable que se puede trabajar
Irnaqawi,"Trabajo corporal, labor"
Irnaqayaña,"Hacer trabajar, dar trabajo"
Irnaqiri,"Trabajador, persona que trabaja"
Irnuqaña,Colocar una cosa sólida o producto redondo
Irpa,Pájaro que comienza ya a volar. Acequia. Guía
Irpachaña,"Canalizar, abrir canales o acequias"
Irpajaqi,"Guía en viajes, conocer bien los caminos"
Irpakipaña,"Hacer pasar tomando de la mano o de una cuerda, un puente. Un mal paso"
Irpakipayasiña,Hacerse ayudar en pasar haciéndose tomar de la mano
Irpamuchuña,Alojar cortésmente a alguien
Irpamukuyasiña,"Hacerse acompañar hasta algún lugar, camino"
Irpaña,Guiar a una persona que no conoce el camino o la ciudad
Irpanaqaña,Llevar o conducir a una persona o animal de un sitio a otro
Irpanaqasiña,"Andar juntos frecuentemente, ir de un sitio para otro"
Irpantaña,Conducir a una persona hacia el interior
Irpanuqaña,Llegar entre dos o más al sitio donde está el que habla
Irpaqa,"Acto de solicitud de la mano de la novia, pedir la mano"
Irpaqaña,Recoger a la prometida o novia de la casa paterna. Pedida de mano
Irparaña,Arrebatar un menor de edad o animal a alguien
Irparantaña,"Entrar, internarse más de dos en un sitio"
Irparapiña,"Llevar, conducir a una persona a pedido de otro. Llevárselo"
Irparaqaña,"Llevar al hijo, sin tener la debida autorización"
Irparayaña,Hacer que otra persona se lo quite
Irparpayaña,Acompañar a uno hasta ponerlo en camino. Desviar el río de su corriente
Irpasi,Compañero que nunca se aparta de otro
Irpasiña,Irse dos personas de sexo opuesto. Fugar dos personas amantes
Irpasiri,"Amantes, enamorados"
Irpasjaña,"Llevarse a alguien, el novio se lleva a la novia antes de casarse"
Irpatataña,Esparcirse los que estaban caminando juntos
Irpawayaña,"Conducir a una persona o animal, aprovechando que está de ida al mismo sitio"
Irpayaña,Enviar alguien con una persona. Dejarse llevar dócilmente
Irpiri,"Conductor, que conduce. Guía"
Irpjaña,Abrir un cauce o acequia. Llevar a persona o animal que se había dejado
Irpkatata,"Anexo, unido a otra cosa y dependiente de ella"
Irpstaña,Salir de una habitación un grupo de personas
Irpsuña,Sacar a una persona o a un animal
Irpsuyaña,"Hacer sacar, hacer salir mediante otra persona"
Irptaña,Recoger de algún lugar a una persona abandonada
Irpthapiña,"Parear, juntar dos cosas iguales o parecidas"
Irpthapiri,Registro civil
Irpthaptaña,Juntarse o encontrarse casualmente en el camino
Irpxaruña,Animar a alguien para que lo acompañe en el camino
Irpxaruyaña,Dar o entregar a una persona a su cuidador
Irpxataña,"Encaminar, enseñar el camino o poner en camino"
Irpxayaña,"Ser el acompañante permanente, llevar o acompañar de costumbre"
Irpäwi,El lugar de donde se llevó
Irqi,Niño que ya camina. Instrumento de viento de la región de Tarija
Irsuña,Extraer un objeto pequeño con la palma de una mano
Irsuraqaña,"Sacar una cosa pequeña como moneda, sin la autorización de su propietario"
Irt'aña,Encarar. Aumentar dinero para una compra. Mandar algo a alguien
Irtaña,Levantar un objeto pequeño con la mano
Irthapiña,Recolectar dinero
Iru,"Paja brava, espinos"
Iruki,"Cerdoso, que crea muchas cerdas"
Irwaqa,"Ladera. Esquina, ángulo exterior que forman dos superficies"
Irxaña,"Condenar, penar, dar sentencia"
Irxata,"Aumento, añadir completar lo que falta en dinero. Golosina del fiambre"
Irxataña,Encarecer. Alza de precios Entregar a otro una cosa pequeña
Irxatata,"Venta de algunos artículos aumentado, en peso, elevación de precios"
Isa,Cosa muy dura o piedra negra
Isallu,Manto rectangular generalmente de un solo color que usaban las mujeres
Isaña,Tubérculo de color amarillo con ojos azules y picante muy parecido a la oca
Isapaña,Anunciar
Isch'ukiña,Percibir los sonidos. Escuchar con atención
Isch'ukiri,Persona que escucha
Isch'ukisiña,"Estar escuchando mucho tiempo, espiar"
Isch'ukiyaña,Hacer escuchar con otro
Isi,"Vestido, prenda usada para cubrir el cuerpo humano, ropa"
Isichaña,Proporcionar ropa variada a la esposa o a las hijas
Isicharapiña,Hacer ropa para otro
Isichasiña,Hacerse o tejerse ropa para si
Isini,Persona que tiene mucha ropa
Isintasiña,"Ponerse ropa, vestirse"
Isirasiña,"Desvestirse, quitarse prendas"
Isirayaña,Hacer desvestir
Isisiña,Vestirse
Isit'axsu,Lavatorio
Ispa,"Gemelos, mellizos"
Ispalla,Amuleto de la papa se dice que son dos niñas una blanca y otra negra
Ispi,Pececillo
Ispillu,Labio
Ispilma,"Candela, vela"
Ispinku,Trébol
Issuña,"Desnudar, quitar el vestido o ropa"
Issusiña,"Desnudarse, dejando la que antes se usaba"
Ist'aña,"Audible que puede escucharse. Escuchar, obedecer"
Ist'añjama,Algo que se puede escuchar
Ist'apxma,"Escuchar, escuchen"
Ist'asiña,"Vestirse, escuchar lo que hablan mal de si"
Ist'asiri,Obediente y sumiso
Ist'asiyaña,Hacer que una persona escuche lo que se habla de ella
Ist'asxaña,Haberse oído. Volverse obediente y sumiso
Ist'ayaña,"Vestirlo, amortajar, hacer que uno le haga oír a otro"
Ist'iri,Oyente. Persona que oye o escucha
Ist'kaya,Audible
Istalla,Prenda tejida primorosamente para contener la coca
Istaña,Comprender
Isthapiña,"Vestir, cubrir con ropas a uno, engalanarse, arreglarse"
Isthapisiña,"Vestir, cubrir con ropas a uno, engalanarse, arreglarse"
Istira,"Quesera, molde para hacer quesos"
Isuqaña,Percibir
Isutunku,Sorgo (planta)
Iswalla,Adúltero
Italaki,"Zampoña, instrumento originario de Talque"
Itapallu,Ortiga. Planta orticácea
Itha,Pulga de ave
Itkataña,Adosar con una cosa sólida que requiere la fuerza de dos manos
Itnaqaña,Manejar un cajón o cosa parecida. Colocar al suelo
Itsuña,Extraer un objeto sólido y pesado con las dos manos
Ittaña,Alzar una cosa sólida
Itunaqtaña,Andar tironeándose por todas partes cosas
Ituniña,Traer una cosa hacia donde uno la pide
Ituntaña,"Llevar, entre los brazos"
Ituqaña,Bajar la olla del fogón
Ituraña,Arrebatar algo
Iturpayaña,"Levantar, retirar cosas pesadas para tapar o destapar"
Itutiña,Rodar
Itäwi,"Absceso en el pie, se cree que es por haber pisado los alimentos"
Iwachu,"Flojo, debilitado, sin fuerzas"
Iwayu,"Querido, amante, despectivo"
Iwhani,Espalda
Iwisa,Oveja
Iwisqallu,Cría de ovejas
Iwxa,"Amonestación, consejo. Encargo, recado. , Mensaje"
Iwxaniña,"Ir a dar un encargo o un mensaje. Ir a amonestar, dar un consejo"
Iwxarapiña,"Amonestárselo, recomendárselo, dar consejo para bien de otro"
Iwxasiri,"Consejero, persona que da consejos o recomendaciones"
Iwxasiwayjaña,Recomendarse así mismo
Iwxata,Persona que ha sido aconsejada
Iwxaw aru,"Encomienda de palabra, Testamento"
Iwxawayaña,Dejar algo encomendado antes de irse
Iwxawi,"Sermón, amonestación"
Iwxkaña,"Aconsejable, digno de ser aconsejado"
Iya,¡En buena hora!
Iyana,"Aceptar, admitir, asentir, consentir, tolerar"
Iyausaña,Consentir
Iyaw,"Ya, expresión de aceptación. Afirmativo"
Iyawsayaña,Hacer aceptar. Persuadir
Iyawskaya,"Aceptable, que puede ser aceptado"
Iyawäña,"Acatar, obedecer"
Iyra,"Colina, loma de cerro, elevación de terreno menor que una montaña"
Ja,Persona que arrea animales
Jach'a,"Fuerte y grande, largo o alto. Muchedumbre o junta de alguna cosa"
Jach'achaña,"Engrandecer, levantar en alto"
Jach'ajila,Hermano mayor
Jach'amama,Esposa de la máxima autoridad de un ayllu. Mujer de edad
Jach'asirka,Nombre de un pueblo
Jach'atata,"Nombre que recibe la autoridad mayor en un ayllu. Persona mayor, abuelo"
Jach'i,"Un puñado de algo, cuanto cabe en el puño de la mano"
Jach'ijaña,Llevar algo sin soltar durante mucho tiempo
Jach'iña,Llevar un puñado de algo
Jach'intaña,Meter o echar dentro un puñado de algo
Jach'isuña,Sacar un puñado de algún recipiente o bolsa
Jach'ithapiña,Juntar puñado de algo
Jach'ixaraña,Dar un puñado de algo
Jach'ixataña,Poner un puñado encima de algo
Jach'kataña,Botar la coca mascada en las apachetas. Superstición. Traer coca en la boca
Jach'ni,Hechicero que hace un embuste y trae consigo el maíz o estiércol para adivinar
Jach'taña,Tomar un puñado de algo
Jach'u,Cebada tierna como forraje. Coca mascada que echan de la boca. Carabinero
Jach'usuña,Sacar la coca mascada con la mano
Jach'utarapiña,Tomar un puñado de algo para dárselo a otro
Jach'xaruña,Tomarlo en el puño
Jacha,Lágrima
Jacha auti,Junio
Jacha chimu,Julio
Jacha marka,Ciudad
Jachajachaña,Tener ganas de llorar
Jachaña,"Llorar, Derramar lágrimas"
Jachanqalla,Llorón
Jachantaña,Meterse a llorar con otros que lloran.
Jachaptayaña,Engrandecer
Jacharaña,Llorar de algo entre varias personas
Jachina,Estornudar
Jachiri,El que llora.
Jachjaña,"Ahogar ahorcando o entronando algo en la garganta, Maldecir a alguien"
Jachjayasiña,Enojarse
Jachkataña,Llegar llorando o quejarse
Jachsuña,Llorar un rato o un momento
Jachxataña,Llorar sobre la sepultura o sobre el muerto
Jachäña,Hacerle llorar
Jaipu,Noche
Jaipucama,Hasta la noche
Jaju,Mosquito que pica
Jak'a,Cerca o cercano
Jak'achaña,"Acercarse, faltar poco para llegar"
Jak'aja,Mi vecino
Jak'akataña,Acercarse a alguien o a algo
Jak'ankaña,Estar cerca
Jak'ankiri,Vecinos cercanos
Jak'asiña,Acercarse uno a otro
Jaka,Vida o hacienda
Jakaña,Vivir actualmente. Lugar donde vive
Jakasiña,Ganar para comer con su trabajo. Vivir con alguien
Jakatatxaña,Resucitar. Mejorar en la salud
Jakatatäxaña,"Resucitar a otro, Hacer revivir"
Jakawi,Placenta
Jakhiraña,Cosas que se cuentan
Jakhu,Cosa de valor. Números
Jakhuña,"Contar, preciar"
Jakhuri,Contador
Jakhusiña,Uno que se cuenta los números arábigos. Contarse
Jakhuwi,Contabilidad
Jakhüsiña,"Hacerse estimar, hacerse tomar en cuenta."
Jakiri,Persona que vive
Jakisiña,Encontrarse con alguien
Jakisxaña,"Volverse a juntar, hallar lo que se había perdido"
Jakkataña,"Colarse a algo, pegarse a algo"
Jaktaña,"Revivir, resucitar"
Jakxaña,"Sanar, cobrar salud"
Jakäña,Hacer vivir o dar salud
Jakäsiña,"Hacer vivir, Curar una herida"
Jalajala,"Diligente, andar de prisa"
Jalakataña,Enfrentarse para defender a otro. Cruzar de un frente a otro
Jalakipaña,"Adelantarse, Pasar por encima de otro"
Jalakipiri,Persona que toma la delantera. El que pasa por encima de otro
Jalaña,Correr o ir de mucha prisa
Jalantaña,Caerse al agua o a un barranco. Entrar a un lugar de improviso
Jalaqaniña,Llegar apresurado de algún lugar
Jalaqtaña,"Caerse, Quedarse atrás o apartarse del grupo. Hacer caer algo"
Jalaqtayaniña,Hacer caer de un lugar elevado hacia abajo
Jalaqtayiri,Persona que hace caer
Jalaqti,Cosa o persona que se cae
Jalaranttaña,Hundirse
Jaljtaña,Separarse
